postalCode,Population,,,,,,,,
11730,14204,,,,,,,,
11747,19793,,,,,,,,
11743,43533,,,,,,,,
14219,10912,,,,,,,,
11777,9448,,,,,,,,
13211,6819,,,,,,,,
12110,21837,,,,,,,,
12211,11503,,,,,,,,
13321,1175,,,,,,,,
10604,11397,,,,,,,,
14585,69,,,,,,,,
10979,201,,,,,,,,
14228,21887,,,,,,,,
12508,19742,,,,,,,,
14120,44800,,,,,,,,
14623,26003,,,,,,,,
10913,5657,,,,,,,,
12603,43411,,,,,,,,
13461,3072,,,,,,,,
10547,6913,,,,,,,,
13319,1164,,,,,,,,
10548,3214,,,,,,,,
14722,430,,,,,,,,
10950,48838,,,,,,,,
14304,28605,,,,,,,,
14450,41414,,,,,,,,
10901,23195,,,,,,,,
14624,35918,,,,,,,,
14625,9990,,,,,,,,
11716,11134,,,,,,,,
12803,8093,,,,,,,,
10464,4532,,,,,,,,
11764,12969,,,,,,,,
14441,444,,,,,,,,
10595,8577,,,,,,,,
10588,2518,,,,,,,,
12207,1506,,,,,,,,
12456,690,,,,,,,,
14526,20609,,,,,,,,
11953,12688,,,,,,,,
14051,20133,,,,,,,,
12471,672,,,,,,,,
10505,785,,,,,,,,
14756,164,,,,,,,,
12084,4281,,,,,,,,
12065,42249,,,,,,,,
13157,718,,,,,,,,
14788,245,,,,,,,,
10915,168,,,,,,,,
14580,50946,,,,,,,,
14774,200,,,,,,,,
14592,187,,,,,,,,
10535,573,,,,,,,,
12054,17139,,,,,,,,
10589,9376,,,,,,,,
11545,12653,,,,,,,,
14588,259,,,,,,,,
14075,42837,,,,,,,,
10545,135,,,,,,,,
10994,6931,,,,,,,,
14539,225,,,,,,,,
14827,95,,,,,,,,
13677,240,,,,,,,,
12182,14937,,,,,,,,
13435,217,,,,,,,,
14169,320,,,,,,,,
12144,20244,,,,,,,,
10510,10391,,,,,,,,
11733,17065,,,,,,,,
10546,1149,,,,,,,,
13209,13047,,,,,,,,
14586,11452,,,,,,,,
10598,29699,,,,,,,,
13905,27543,,,,,,,,
12590,35148,,,,,,,,
10514,12915,,,,,,,,
14534,32399,,,,,,,,
10541,26355,,,,,,,,
12553,25395,,,,,,,,
14085,7167,,,,,,,,
11780,15099,,,,,,,,
12524,15984,,,,,,,,
12565,1450,,,,,,,,
14742,215,,,,,,,,
10507,7039,,,,,,,,
12180,53218,,,,,,,,
14026,712,,,,,,,,
14086,32159,,,,,,,,
11961,12041,,,,,,,,
13341,172,,,,,,,,
10577,6269,,,,,,,,
10962,5677,,,,,,,,
12177,596,,,,,,,,
11042,542,,,,,,,,
13628,211,,,,,,,,
11955,2780,,,,,,,,
13760,44585,,,,,,,,
10567,20197,,,,,,,,
14480,1166,,,,,,,,
14467,9784,,,,,,,,
11940,4982,,,,,,,,
11786,6550,,,,,,,,
12432,530,,,,,,,,
10520,13107,,,,,,,,
12449,3301,,,,,,,,
12527,134,,,,,,,,
12453,417,,,,,,,,
11946,13312,,,,,,,,
10992,9324,,,,,,,,
11560,6334,,,,,,,,
11768,21687,,,,,,,,
10549,16165,,,,,,,,
13413,16227,,,,,,,,
12188,11138,,,,,,,,
11970,466,,,,,,,,
13901,19006,,,,,,,,
